---,ObjectType,Variant,Prefix,Suffix,Description
LandscapeGrassType,"/Script/Landscape.LandscapeGrassType","","LG_","",""
LandscapeLayerInfoObject,"/Script/Landscape.LandscapeLayerInfoObject","","","_LayerInfo",""
