---,ObjectType,Variant,Prefix,Suffix,Description
EditorUtilityBlueprint,"/Script/Blutility.EditorUtilityBlueprint","","EUBP_","",""
EditorUtilityWidgetBlueprint,"/Script/Blutility.EditorUtilityWidgetBlueprint","","EUW_","",""
