---,ObjectType,Variant,Prefix,Suffix,Description
SubstanceGraphInstance,"/Script/SubstanceCore.SubstanceGraphInstance","","SGI_","",""
SubstanceInstanceFactory,"/Script/SubstanceCore.SubstanceInstanceFactory","","SIF_","",""
