---,ObjectType,Variant,Prefix,Suffix,Description
FileMediaSource,"/Script/MediaAssets.FileMediaSource","","FMS_","",""
MediaPlayer,"/Script/MediaAssets.MediaPlayer","","MP_","",""
MediaTexture,"/Script/MediaAssets.MediaTexture","","MT_","",""
